Size;Time;Thread
9;0.000695575;8
9;0.000708666;8
9;0.000519335;16
9;0.000455864;16
9;0.000431363;16
9;0.000430707;16
9;0.000422489;16
9;0.000421561;32
9;0.000347819;32
9;0.000376787;32
9;0.000325594;32
9;0.000334118;32
9;0.000342347;64
9;0.000346765;64
9;0.00031573;64
9;0.000311583;64
9;0.000311214;64
10;0.0102354;1
10;0.0102877;1
10;0.0102833;1
10;0.0102895;1
10;0.0102822;1
10;0.00859729;2
10;0.0159632;2
10;0.00877884;2
10;0.00968461;2
10;0.0156713;2
10;0.00432852;4
10;0.00574162;4
10;0.0106043;4
10;0.00656938;4
10;0.009505;4
10;0.0024799;8
10;0.00463554;8
10;0.00384428;8
10;0.00305019;8
10;0.00530336;8
10;0.00153982;16
10;0.00282232;16
10;0.00221261;16
10;0.00224848;16
10;0.00213649;16
10;0.000863302;32
10;0.00153733;32
10;0.00151238;32
10;0.0015944;32
10;0.00111518;32
10;0.000790764;64
10;0.00128421;64
10;0.00141511;64
10;0.00136431;64
10;0.00144806;64
11;0.054299;1
11;0.0549498;1
11;0.0545942;1
11;0.0539918;1
11;0.0943423;1
11;0.0382083;2
11;0.0420213;2
11;0.0433852;2
11;0.0416462;2
11;0.0414966;2
11;0.0240838;4
11;0.0283535;4
11;0.0286046;4
11;0.028925;4
11;0.0271827;4
11;0.0157979;8
11;0.0159921;8
11;0.0149171;8
11;0.0144037;8
11;0.0155097;8
11;0.0108501;16
11;0.0111193;16
11;0.0192349;16
11;0.010933;16
11;0.0107779;16
11;0.00345745;32
11;0.00621051;32
11;0.00621885;32
11;0.00618933;32
11;0.00621693;32
11;0.00200577;64
11;0.00373139;64
11;0.00373638;64
11;0.00382119;64
11;0.004008;64
12;0.272416;1
12;0.254986;1
12;0.28083;1
12;0.252686;1
12;0.252;1
12;0.17454;2
12;0.202815;2
12;0.198504;2
12;0.141666;2
12;0.13974;2
12;0.09002;4
12;0.10697;4
12;0.107152;4
12;0.108004;4
12;0.111746;4
12;0.0623914;8
12;0.0621119;8
12;0.0610426;8
12;0.0621213;8
12;0.0592535;8
12;0.0677142;16
12;0.0348616;16
12;0.0707782;16
12;0.0339691;16
12;0.0347196;16
12;0.0203796;32
12;0.0197278;32
12;0.0791226;32
12;0.0215774;32
12;0.020195;32
12;0.156881;64
12;0.00895207;64
12;0.013271;64
12;0.011946;64
12;0.0133449;64
4;4.24311e-06;1
4;4.44427e-06;1
4;4.45917e-06;1
4;4.36231e-06;1
4;4.35859e-06;1
4;1.46069e-05;2
4;1.1269e-05;2
4;1.28672e-05;2
4;1.26883e-05;2
4;1.06618e-05;2
4;9.78261e-06;4
4;1.05947e-05;4
4;1.03712e-05;4
4;1.30348e-05;4
4;1.12765e-05;4
4;1.5419e-05;8
4;1.38395e-05;8
4;1.38991e-05;8
4;1.23605e-05;8
4;1.38208e-05;8
4;3.78937e-05;16
4;1.60709e-05;16
4;1.31167e-05;16
4;1.51917e-05;16
4;1.56872e-05;16
4;2.01017e-05;32
4;1.8578e-05;32
4;1.89058e-05;32
4;1.92896e-05;32
4;2.08691e-05;32
4;3.31476e-05;64
4;0.000107449;64
4;3.21604e-05;64
4;3.21083e-05;64
4;4.87193e-05;64
